Id,INTPTLAT10,INTPTLON10
48085031624,33.0228906,-96.759966
48085031630,33.0791782,-96.7300526
48085031623,33.0230562,-96.7211515
48085031625,33.0338264,-96.7617121
48085031708,32.9928098,-96.8051254
48085031505,33.0898066,-96.6998116
48085031504,33.1075966,-96.6391141
48085031506,33.0905501,-96.6711733
48085032008,33.0408055,-96.667044
48085031805,32.9902333,-96.7034743
48085032012,33.0360143,-96.6894767
48085030520,33.1821731,-96.7937592
48085030521,33.1815113,-96.7760686
48085030524,33.2080096,-96.7545497
48085030519,33.2037285,-96.8088805
48085031621,33.0186833,-96.7813709
48085031704,32.9924767,-96.8365213
48085031647,33.0359512,-96.8367527
48085031653,33.0473086,-96.7843558
48085031649,33.0207666,-96.8180137
48085031643,33.0641604,-96.7430281
48085031632,33.0763447,-96.701825
48085030530,33.181761,-96.6885949
48085030515,33.1667505,-96.6892247
48085030404,33.1428488,-96.7964158
48085030301,33.2422958,-96.7071737
48085030527,33.2070393,-96.6836108
48085031622,33.0339193,-96.7204964
48085030900,33.1818524,-96.6013071
48085030601,33.1777046,-96.6504146
48085031100,33.1415063,-96.3740648
48085030100,33.2943131,-96.3974783
48085030528,33.1786392,-96.6752773
48085031806,33.0004871,-96.7397507
48085031719,32.9942717,-96.7736033
48085031720,32.9889844,-96.7727489
48085031718,32.9920775,-96.7869769
48085031715,33.0076501,-96.807957
48085031716,33.0009388,-96.8003643
48085031713,33.0023401,-96.8245577
48085031714,33.0081469,-96.82066
48085031712,33.0097784,-96.8388787
48085031663,33.0829813,-96.7825316
48085031664,33.0750742,-96.781597
48085031807,33.0116091,-96.7495611
48085031655,33.0308471,-96.78282
48085031654,33.0382754,-96.7817537
48085031409,33.0670409,-96.6621259
48085032013,33.0540065,-96.6886424
48085031405,33.1252378,-96.6919743
48085031508,33.1146264,-96.6613536
48085031410,33.0916309,-96.6443183
48085032011,32.9978885,-96.6441237
48085031317,32.9944965,-96.587216
48085031315,33.0319048,-96.5866769
48085031309,33.0149111,-96.5597476
48085031308,33.0351982,-96.5279072
48085031310,33.0043851,-96.5067861
48085031202,33.0018783,-96.3996405
48085030514,33.159396,-96.6716306
48085031408,33.0917368,-96.6148115
48085031314,33.0631196,-96.5546878
48085030512,33.1294791,-96.7421818
48085031661,33.0988156,-96.7862644
48085030505,33.111593,-96.8129905
48085031656,33.0731573,-96.8316004
48085031658,33.0680843,-96.812571
48085031660,33.090464,-96.795255
48085031657,33.0824089,-96.8132244
48085031711,33.0019565,-96.8357321
48085030509,33.1224282,-96.7920657
48085030507,33.1137804,-96.7738093
48085030508,33.1248424,-96.7804972
48085030510,33.1341703,-96.7771865
48085032010,33.0160845,-96.6491913
48085031316,32.9986133,-96.6239054
48085031313,33.0540545,-96.6115664
48085031411,33.0678343,-96.6353519
48085031312,33.0356443,-96.6463989
48085030522,33.1889245,-96.7590841
48085030511,33.141909,-96.7603652
48085030523,33.1890163,-96.7416208
48085030516,33.1660775,-96.710776
48085030526,33.2107433,-96.7108276
48085030525,33.1943421,-96.721981
48085030529,33.1814139,-96.7249721
48085030531,33.1850242,-96.7056186
48085030517,33.1629132,-96.7235583
48085030605,33.2263677,-96.6628586
48085030701,33.2263903,-96.6166393
48085030603,33.2038769,-96.6541598
48085030802,33.1882683,-96.6255761
48085030702,33.2036181,-96.6248928
48085030801,33.1753702,-96.6329136
48085031406,33.1342255,-96.6315163
48085031407,33.1269139,-96.5738493
48085030304,33.2423627,-96.8136533
48085030303,33.2376244,-96.7791152
48085030302,33.2397752,-96.7447463
48085030305,33.3240314,-96.7544404
48085030202,33.3407704,-96.6428448
48085030604,33.2438459,-96.6427242
48085031201,33.0456907,-96.3785922
48085030203,33.3418691,-96.5456122
48085031004,33.1517471,-96.4831572
48085032009,32.9896787,-96.6590089
48085031709,33.0043451,-96.7824907
48085031706,32.9930127,-96.8209776
48085031652,33.063899,-96.7811639
48085031645,33.0506979,-96.8364889
48085031648,33.034225,-96.8116071
48085031640,33.111716,-96.7415073
48085031641,33.0936873,-96.7417841
48085031639,33.1081443,-96.7593474
48085031638,33.0942216,-96.7605662
48085030403,33.1642099,-96.8134859
48085030408,33.1535041,-96.8262022
48085031637,33.0792969,-96.7619454
48085031633,33.0680132,-96.7257628
48085031001,33.1159592,-96.5102687
48085031804,32.9948991,-96.749995
48085032004,33.0234499,-96.6728432
48085032003,33.0247974,-96.6907101
48085031900,33.01049,-96.6898623
48085030513,33.1446238,-96.7074868
48085030518,33.1672397,-96.7779891
48085031659,33.0808991,-96.7969235
48085030201,33.2641858,-96.5348754
48085031003,33.2050835,-96.5324034
48085031507,33.1072556,-96.686503
48085031311,32.9928002,-96.5446436
48085031717,33.0066102,-96.7986044
48085031802,33.0081449,-96.7211948
48085031646,33.0531091,-96.8134817
48085031642,33.0787597,-96.7434363
48085031634,33.0610337,-96.7250913
48085031636,33.0641662,-96.7606924
48085031635,33.062896,-96.704831
48085030504,33.1003972,-96.8341506
48085030406,33.1325049,-96.8116664
48085030405,33.1310004,-96.797022
48085030407,33.1274919,-96.8340862
48085031662,33.092167,-96.7791585
48085030506,33.1098901,-96.7997965
48085031631,33.0775002,-96.7174159
48085031613,33.0490167,-96.742621
48085031612,33.0490717,-96.7610943
48085031611,33.0486352,-96.7051228
48085031629,33.04726,-96.7235058
48085031626,33.0230459,-96.7423723
48085031628,33.0528182,-96.721936
48085031627,33.034976,-96.7422925
48113014133,32.8701044,-97.0029707
48113980000,32.8892351,-97.012816
48113014134,32.9804714,-96.9854031
48113014135,32.9736434,-96.9825126
48113014131,32.9334134,-96.9486751
48113014132,32.9430216,-96.945996
48113018505,32.9067088,-96.713857
48113013625,32.9432154,-96.8203727
48113010704,32.7369857,-96.9078149
48113010801,32.7149603,-96.9000079
48113010803,32.6984258,-96.876343
48113010902,32.6584346,-96.8638061
48113011001,32.6817052,-96.8486547
48113011002,32.6819456,-96.8321352
48113011101,32.6581693,-96.8479962
48113011103,32.6682188,-96.8310316
48113011104,32.6518263,-96.8352632
48113016615,32.5753391,-96.9334073
48113016616,32.5547342,-96.9450378
48113016617,32.6100191,-96.8811713
48113016618,32.6021911,-96.8653427
48113016619,32.6115464,-96.8490569
48113016620,32.5928543,-96.8416911
48113019202,32.9459399,-96.7468299
48113019203,32.9568544,-96.7416435
48113019204,32.9539786,-96.7623134
48113018122,32.9689086,-96.5599793
48113017900,32.8174784,-96.654662
48113017806,32.8045623,-96.6599244
48113017805,32.7869383,-96.6473624
48113013009,32.887236,-96.7131528
48113013008,32.8859478,-96.7236148
48113013623,32.9423526,-96.8081096
48113013621,32.9605446,-96.8087578
48113013622,32.949618,-96.811082
48113013010,32.868814,-96.6802314
48113012604,32.8427073,-96.6459779
48113017605,32.7545414,-96.644194
48113017606,32.7571114,-96.6290236
48113010904,32.6755864,-96.8721024
48113011105,32.6525685,-96.8268568
48113013101,32.9027136,-96.7789378
48113013102,32.8876704,-96.7818016
48113013200,32.9173463,-96.7857196
48113013300,32.902679,-96.7933933
48113013400,32.902116,-96.8113847
48113013500,32.9023925,-96.828527
48113013605,32.9699569,-96.7749458
48113019208,32.9321857,-96.7652581
48113019301,32.856345,-96.7818523
48113019302,32.8446379,-96.7804772
48113019400,32.8477546,-96.791368
48113019501,32.8580129,-96.7993586
48113019502,32.8446102,-96.8063284
48113019600,32.8314269,-96.7876412
48113019700,32.832828,-96.7967924
48113013007,32.8696651,-96.6939127
48113013005,32.8748851,-96.7049194
48113013004,32.8699275,-96.7214179
48113012900,32.8498924,-96.7118285
48113012800,32.8552398,-96.6881599
48113012702,32.8397419,-96.6761172
48113015900,32.735462,-96.9697379
48113016521,32.6817044,-96.956399
48113016413,32.6653644,-97.0081972
48113016412,32.660822,-96.993027
48113014137,32.8924948,-96.9459256
48113013606,32.9560756,-96.7952673
48113013607,32.9562506,-96.77772
48113013608,32.9387313,-96.7951918
48113013609,32.9451778,-96.7771517
48113013610,32.9322571,-96.7776258
48113013611,32.9779621,-96.8140173
48113013615,32.9328198,-96.8082826
48113019800,32.8294841,-96.8100103
48113019900,32.7381157,-96.8885647
48113005600,32.7123835,-96.8208122
48113011500,32.7347662,-96.7268403
48113017813,32.8019608,-96.6190307
48113012209,32.8127017,-96.7039329
48113002200,32.7901761,-96.7801634
48113009103,32.7406358,-96.7044158
48113009105,32.7383023,-96.6911076
48113018120,32.9338273,-96.5940817
48113012601,32.8547596,-96.6601709
48113012500,32.8297473,-96.666781
48113012400,32.8282285,-96.6848089
48113012302,32.8078631,-96.6755001
48113012206,32.7870613,-96.7088763
48113007819,32.8655737,-96.7594157
48113014312,32.8701473,-96.961996
48113014205,32.8568657,-96.9400304
48113013727,32.9668631,-96.8383096
48113013805,32.9365974,-96.8514403
48113013806,32.934965,-96.8377949
48113007909,32.8534756,-96.7665915
48113013616,32.9556844,-96.8245288
48113013617,32.9818782,-96.795958
48113013618,32.9825622,-96.7764651
48113013619,32.9706285,-96.7951314
48113013711,32.9424744,-96.887038
48113013712,32.9425882,-96.8782347
48113013713,32.9449808,-96.9013439
48113016804,32.598079,-96.8010907
48113016704,32.6171918,-96.7758836
48113016705,32.6060748,-96.78721
48113016701,32.6566394,-96.7737765
48113011401,32.6793991,-96.7693476
48113011300,32.6662759,-96.7955554
48113011200,32.6629392,-96.814449
48113012204,32.8005197,-96.7048389
48113012211,32.8022214,-96.6890354
48113012207,32.785962,-96.6844694
48113012208,32.7997102,-96.7221906
48113012100,32.7695594,-96.6608539
48113012000,32.7558865,-96.6583533
48113007910,32.8573642,-96.7615318
48113007825,32.8936894,-96.7346404
48113007824,32.8778369,-96.7381193
48113007826,32.8712502,-96.734187
48113007827,32.882557,-96.7317495
48113013011,32.8780414,-96.6923776
48113018506,32.8978057,-96.6970701
48113013714,32.9481362,-96.8946085
48113013715,32.9499752,-96.8763847
48113013716,32.9695313,-96.905794
48113013717,32.9590524,-96.9017557
48113013718,32.9601862,-96.8917345
48113013719,32.9805745,-96.9137077
48113013720,32.9809638,-96.8867624
48113013721,32.9763628,-96.8715328
48113008900,32.7431938,-96.7910735
48113008802,32.7102895,-96.7875068
48113008801,32.7188747,-96.7927092
48113008705,32.6864428,-96.7791217
48113008704,32.6951583,-96.7814755
48113008703,32.7030426,-96.7825885
48113008701,32.7008923,-96.7640319
48113017304,32.7503801,-96.5602315
48113011701,32.7121115,-96.6613022
48113011601,32.7072524,-96.7059222
48113011602,32.6921547,-96.6626173
48113009304,32.7171732,-96.6996966
48113009303,32.7209387,-96.7242418
48113009301,32.7286814,-96.6930624
48113009202,32.7273351,-96.6736675
48113009201,32.7419837,-96.67251
48113017102,32.6641838,-96.63268
48113009104,32.7454629,-96.6918433
48113007821,32.8734848,-96.7475389
48113007912,32.8615788,-96.7674673
48113007822,32.8768842,-96.7663931
48113007823,32.8924652,-96.7644299
48113019040,32.9323213,-96.7387195
48113019041,32.9287945,-96.7272011
48113013722,32.9799682,-96.8535275
48113013725,32.962635,-96.8463689
48113013803,32.9373488,-96.8621451
48113013804,32.9206555,-96.8611653
48113013901,32.9315311,-96.8960363
48113013902,32.9315146,-96.8816286
48113014001,32.9173308,-96.8865439
48113014002,32.9400375,-96.9236778
48113014103,32.8917158,-96.9844341
48113008604,32.7174152,-96.7700742
48113005902,32.6962613,-96.8186949
48113005901,32.6930871,-96.8082134
48113005700,32.6991472,-96.799898
48113005500,32.7251819,-96.7995404
48113005400,32.7273124,-96.8174397
48113004900,32.7365697,-96.805117
48113009101,32.7564851,-96.6943404
48113008500,32.7706206,-96.691452
48113008400,32.7753203,-96.7154292
48113008200,32.8388039,-96.6970996
48113008100,32.8228255,-96.7109461
48113008000,32.8378611,-96.7360189
48113013104,32.8834356,-96.7738864
48113013105,32.8925835,-96.77359
48113006401,32.7258759,-96.8635665
48113014130,32.9222447,-96.9448806
48113014138,32.8970538,-96.933894
48113014206,32.8663911,-96.9370111
48113016520,32.7036698,-96.9232763
48113010805,32.7115251,-96.8794147
48113010804,32.7132637,-96.8626793
48113006402,32.7274494,-96.873434
48113013620,32.9619562,-96.817005
48113013624,32.9470838,-96.8188066
48113014113,32.8602976,-97.0012003
48113014114,32.86125,-96.9941523
48113014115,32.8445283,-97.0003996
48113014116,32.8472393,-97.0151966
48113014119,32.9585722,-96.9846196
48113014120,32.9607899,-96.9669693
48113014121,32.958913,-96.9448755
48113014123,32.9774445,-96.9556913
48113014124,32.9177986,-96.9906614
48113004800,32.7436768,-96.81755
48113004100,32.7524603,-96.8034032
48113017003,32.6684919,-96.5384166
48113016903,32.5891919,-96.6664144
48113016902,32.6469983,-96.7003723
48113016802,32.5668364,-96.7786434
48113016703,32.6298669,-96.7788431
48113017305,32.7283875,-96.5360751
48113007903,32.850053,-96.7563889
48113007902,32.8480417,-96.7442803
48113012701,32.8521232,-96.6724365
48113007818,32.8671544,-96.7564983
48113007811,32.8989901,-96.7232123
48113007810,32.9066453,-96.7392017
48113013626,32.9352666,-96.8173762
48113001704,32.7939051,-96.8009704
48113000605,32.8104822,-96.8071673
48113000406,32.8359733,-96.8529643
48113980100,32.8455619,-96.849425
48113000606,32.8159774,-96.8010194
48113007914,32.8421574,-96.7694859
48113000401,32.8113683,-96.8294336
48113000404,32.819584,-96.8283003
48113000405,32.813462,-96.8205415
48113014126,32.9527578,-97.0094605
48113014203,32.8458405,-96.9458494
48113014204,32.8458864,-96.9234378
48113014302,32.8447799,-96.9689893
48113014306,32.8438638,-96.9845912
48113014307,32.8528421,-96.9559595
48113018123,32.9489095,-96.607409
48113009000,32.7612709,-96.6751448
48113019211,32.9694859,-96.7321527
48113019210,32.9810842,-96.7285178
48113019206,32.9742538,-96.7501012
48113019100,32.9486721,-96.7261111
48113019023,32.9500058,-96.6906873
48113019037,32.9657484,-96.690077
48113018002,32.8251363,-96.6369834
48113007809,32.8599333,-96.7400831
48113007815,32.879948,-96.7567463
48113007812,32.8883641,-96.7495638
48113007805,32.9020124,-96.7577756
48113004000,32.7459601,-96.766426
48113000500,32.8059309,-96.8122943
48113000601,32.8265057,-96.8225476
48113000603,32.8189872,-96.8101799
48113000701,32.8106978,-96.7954523
48113000702,32.8227094,-96.7886326
48113001701,32.7899075,-96.7951593
48113001800,32.8001934,-96.8036295
48113001900,32.7917046,-96.8090404
48113002000,32.7597444,-96.8173369
48113014308,32.8435903,-96.9549956
48113014309,32.8569586,-96.9895437
48113014310,32.8580258,-96.9849976
48113014403,32.8285903,-97.0192742
48113014405,32.8316428,-96.9854341
48113014406,32.8215559,-96.9847685
48113014407,32.8308682,-97.0006909
48113017811,32.8196511,-96.6044142
48113018001,32.8335679,-96.6446373
48113017812,32.8166672,-96.6217691
48113017807,32.8120978,-96.6400783
48113017804,32.7980258,-96.636072
48113017704,32.7755459,-96.6097638
48113017602,32.7708892,-96.6407055
48113017604,32.743028,-96.617534
48113003902,32.7484474,-96.7543229
48113003901,32.7599034,-96.7451821
48113003800,32.7576031,-96.7559946
48113003700,32.7630462,-96.7615226
48113003400,32.7589159,-96.7809362
48113012301,32.817453,-96.6747412
48113002702,32.7701729,-96.7507889
48113002701,32.7738368,-96.739615
48113012210,32.811057,-96.6915986
48113002100,32.784249,-96.8028979
48113003101,32.7798448,-96.7992744
48113004201,32.7584519,-96.8299088
48113004202,32.7553003,-96.8502176
48113004300,32.7725106,-96.8393198
48113004400,32.7603016,-96.8446803
48113004500,32.7439348,-96.8661076
48113014408,32.8195639,-96.9989271
48113014501,32.8315595,-96.9678091
48113014502,32.8221272,-96.9570553
48113014601,32.8332082,-96.9517721
48113014602,32.8263353,-96.9390858
48113014603,32.8223203,-96.9464697
48113014701,32.8335568,-96.9259338
48113014702,32.8248964,-96.9259709
48113014703,32.8187924,-96.9299661
48113014901,32.8118209,-96.9549855
48113014902,32.8116036,-96.9359164
48113017500,32.7580469,-96.6090247
48113017400,32.7554779,-96.5911674
48113016803,32.5960866,-96.7639838
48113019024,32.9382061,-96.6913572
48113019021,32.9378066,-96.6567809
48113019020,32.936807,-96.6757418
48113019033,32.9129,-96.6916931
48113019032,32.9203476,-96.6918455
48113019034,32.9211308,-96.7250924
48113019014,32.9238534,-96.6741805
48113002400,32.7939108,-96.7573363
48113011702,32.7050415,-96.6410121
48113001600,32.7979464,-96.7890632
48113001504,32.8003476,-96.7737126
48113001503,32.802911,-96.7769554
48113001502,32.7935764,-96.7692063
48113001400,32.8076818,-96.7617429
48113001302,32.8003388,-96.7628648
48113001301,32.8060919,-96.7527967
48113001202,32.8006261,-96.7353098
48113001204,32.7987176,-96.7483977
48113014127,32.9326897,-96.9781163
48113020700,32.9630895,-96.8711228
48113018501,32.8892281,-96.6710733
48113020000,32.9770024,-97.0174795
48113020200,32.6855296,-96.7107102
48113020100,32.8211903,-96.9125532
48113020600,32.8726895,-96.8216352
48113004600,32.7472866,-96.8434614
48113004700,32.7462987,-96.83023
48113005000,32.7384312,-96.8303581
48113005100,32.7362312,-96.842412
48113005200,32.7406038,-96.8507934
48113005300,32.7341224,-96.8602455
48113006001,32.7073493,-96.8357182
48113006002,32.6966562,-96.8279838
48113006100,32.698545,-96.848567
48113006200,32.7239994,-96.8330548
48113015000,32.7992264,-96.927862
48113015100,32.7957679,-96.950142
48113015202,32.8205373,-96.9707223
48113015204,32.791659,-96.9699893
48113015205,32.8123296,-96.9680192
